Accession	Gene ID	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F4: Sample, rbohC Cd	Abundances (Normalized): F5: Sample, rbohC Cd	Abundances (Normalized): F6: Sample, rbohC Cd	Abundance Ratio (log2): (rbohC Cd) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohC Cd) / (rbohC C)
F4JI14	AT4G01350	10147642.0548009	11380331.5072379	11483842.7613854	9852952.60601889	4411338.56038611	4076963.86150178	-1.37	0.006700426873597
O80912	AT2G38390	16514322.1287284	26464132.3562575	21128834.9892629	19039349.9155542	49458403.707226	44394159.6679353	1.07	0.006728538082309
Q9SRX5	AT1G02816	15054033.8464862	9569702.45448618	9799947.56281886	22066024.344311	24597317.6564211	19386561.0788879	1.17	0.006847419264288
Q0WTF4	AT4G37400	14082742.5835311	26751711.8308294	30018626.3518767	7076555.20340745	22084370.3464329	0	-1.1	0.006850604144192
Q84K05	AT1G54770	6320447.54106836	8141837.1915032	6865850.00798889	1979962.54592189	7063119.74131052	2129298.57501421	-1.69	0.006859530484419
A0A1P8BHH8	AT5G44530	1234546.52123775	2322638.34647588	0	10213865.5048508	5684469.44067086	6017196.89661747	1.83	0.006927214749069
Q38873	AT5G12480	8859127.93564765	5076573.1226718	5110369.32863892	13584080.7744101	13781856.7231013	20194075.2716384	1.43	0.007587601527997
P0CJ46	AT2G37620	63101525.1907984	40379263.0219213	67886769.0480045	61165611.8692724	34753884.9807147	20838455.0213607	-0.86	0.007846940047468
F4IBS8	AT1G78620	4348603.08169452	5521577.0963481	4670154.39359179	12235612.5630799	13200323.4299013	13692421.5553667	1.5	0.007896112121541
Q9LK88	AT3G27890	26575595.0796934	30200459.0358838	10739341.1474755	12625025.6322728	14889203.4998764	4764853.70980176	-1.07	0.008081126586953
Q9FGK5	AT5G47520	67827989.189888	83403894.2162672	37687809.614286	37790059.9302688	47193273.8159089	20572266.5365054	-0.84	0.008109669501467
Q9SJ81	AT2G04780	152286453.838842	124310682.968229	132457283.215314	57416925.4078759	73121871.2240169	133143896.062258	-0.86	0.008271854598857
Q9C512	AT1G51590	32563794.5474184	24729856.0106612	28284367.5093819	56114702.6654854	55993428.4969794	32988623.2744502	0.99	0.008290828681212
F4JWW6	AT5G41040	7037639.34639442	6128432.17676486	15671423.0190966	17607797.6025357	18338638.9565066	7983833.38172841	1.32	0.008301571230907
Q9FZH0	AT1G41880	46512590.6328135	45353469.8634949	27243120.0879223	24279322.980542	35633564.369013	8860374.58599677	-0.9	0.008415196353905
O64474	AT2G19110	26923367.3464777	23658981.9523031	27692666.600362	43773640.6876604	60246406.6983242	53826848.5196517	1	0.008515940057362
Q8RWN5	AT5G04280	15158149.2253385	8252009.51658829	9524016.21515812	30309667.7647542	21222536.6014041	9842161.54745634	1.16	0.008991390460865
Q9STX2	AT4G24220	34515238.8217351	79431435.3377552	18465797.6424405	27591982.0372117	14798863.6885871	17487210.9923726	-0.98	0.009177002256275
P38666	AT3G53020	438073280.136094	533818410.819405	261961047.248792	299015641.776915	252505536.830208	250232346.209341	-0.79	0.009488624851717
Q8L778	AT5G09870	20659814.1332156	14731322.122745	6131812.50257966	4614470.25655682	6269957.21124225	7297154.32398736	-1.23	0.01039530093523
Q9FN75	AT5G17760	0	0	97776.3717380429	602546.371082197	755745.641197953	51675.5181101029	2.62	0.010485164189755
P42645	AT5G16050	73926905.5667594	53778849.4490397	68675112.3503043	124776681.328493	53673889.2141177	193852135.733621	0.86	0.010616372359833
O48723	AT2G26560	2604010.6759575	4252796.96334226	4115380.75012552	6520408.77351237	13290229.6693395	11268514.9184553	1.45	0.01078937454977
O23264	AT4G14030	21834300.8993336	31934178.7053043	30918115.1690013	59625542.0236602	61358396.5696722	14349361.1026712	0.95	0.011214607573566
Q949U9		319291650.447398	305835081.974307	338264144.154269	186342704.78866	142039548.34372	215675971.320321	-0.78	0.01142194620576
A0A1P8AZV7	AT2G36330	17238361.0081972	20649124.0702242	24334001.0576091	9537611.41338786	18425014.6718111	3840227.2105123	-1.11	0.011867352848322
Q94AX4	AT5G06580	117497.334105826	819984.489606311	99810.1420035516	1035095.45043585	673309.78129412	316639.610849441	2.52	0.012259230294143
O82266	AT2G47990	61755156.8180817	76948865.0857744	78213096.0847729	45436423.3952069	74546923.0586161	44396791.0897478	-0.76	0.012358557612086
O23049	AT1G05190	80465263.6945168	15056131.6411442	11494694.7773864	6489927.55423661	11600247.0041721	5990463.34708076	-1.21	0.012563697706544
Q9XEX2	AT1G65980	70655463.5970601	50205990.847681	46044680.5947533	34343660.8041977	27880825.3282253	10157390.8521122	-0.85	0.012832048004988
