Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
F4JIM7	AT4G21150	0	0	0	544738.735323859	735489.738475892	1092854.60755679	6.64	1.36513383665065E-16
Q9LZQ3		83306677.5364606	80790922.799737	8840815.25807605	7722467.90789465	7937914.34203162	10841312.3039324	-3.35	1.36513383665065E-16
Q84M89	AT1G24320	2164203.81401228	1734550.19630297	1472416.6295288	0	0	0	-6.64	1.36513383665065E-16
O80713	AT2G47130	2131653.26024219	2231359.84424624	844810.434586215	24143987.8089384	37042556.6000284	27704473.1109189	3.7	1.36513383665065E-16
Q9LME7		0	0	0	1242113.6711027	2022561.03244575	1701207.69868074	6.64	1.36513383665065E-16
A0A1I9LQR2	AT3G27870	0	0	0	274507.362900725	258283.304027245	215894.806030793	6.64	1.36513383665065E-16
Q9FJ90	AT5G52020	274663.553229839	346973.620819122	138213.821318987	0	0	0	-6.64	1.36513383665065E-16
Q9ZUB2	AT1G23830	0	0	0	305791.051035954	199122.857505462	343305.769777912	6.64	1.36513383665065E-16
Q8GXC5	AT1G75560	1624271.85784063	3256781.70392847	2196375.42310168	30615.2822614988	24245.9817563012	0	-6.33	1.36513383665065E-16
Q9FF17	AT5G38460	0	0	0	684520.815319162	1232646.21143727	776420.236114934	6.64	1.36513383665065E-16
Q9FZ82	AT1G18610	168779618.633632	208733887.588485	186923358.836136	0	1868489.12986122	0	-6.64	1.36513383665065E-16
Q9SNA3	AT3G46340	0	0	0	1421054.87657512	1206856.40442012	1164064.15902162	6.64	1.36513383665065E-16
Q9FV70	AT1G47870	503369.123012953	444516.825543682	1042325.91377449	0	0	0	-6.64	1.36513383665065E-16
P0CH31	AT1G43140	0	0	0	2940885.78690825	1446387.87254972	3300128.34631518	6.64	1.36513383665065E-16
A0A2H1ZE50	AT5G01550	0	0	0	588526.654948891	794368.79069809	572585.162444871	6.64	1.36513383665065E-16
F4HPH5	AT1G33110	0	0	0	1264417.12550931	1147543.85707915	1164035.03495348	6.64	1.36513383665065E-16
Q9FM29	AT5G40690	0	0	0	2235813.08559931	2166168.02503409	1933878.67425357	6.64	1.36513383665065E-16
Q9LZG4	AT3G43840	224466.689014395	193733.9760986	223751.819130179	0	0	0	-6.64	1.36513383665065E-16
Q9SKC1	AT2G31790	192879.174107855	323160.5467988	1179605.28753481	0	0	0	-6.64	1.36513383665065E-16
Q9FGL5	AT5G49660	2111075.31144361	3324431.96689405	1053545.4906736	102303318.343629	77943445.6899634	32768396.6537216	5.21	1.36513383665065E-16
Q9S9Z8	AT1G34760	0	0	0	517108.082902652	730716.310361522	564450.490303893	6.64	1.36513383665065E-16
P13114	AT5G13930	23751379.1213157	15047285.6432552	8400766.59309515	248444.631948643	252919.492768974	0	-5.91	1.36513383665065E-16
Q9SUQ3	AT4G23740	521125.843824636	723406.119831008	867284.399894014	0	0	0	-6.64	1.36513383665065E-16
Q9SF86	AT3G09830	4653022.7674979	3335716.99659831	4427834.98037894	6975921.49666104	48987996.5489861	53852809.8897448	3.47	1.36513383665065E-16
Q9FGM9	AT5G51440	0	0	0	1394534.26179662	1550104.82956893	834023.685607886	6.64	1.36513383665065E-16
O64380	AT1G22760	1179864.14870178	1011317.38088612	1037182.46406589	0	0	0	-6.64	1.36513383665065E-16
F4JY73	AT5G25640	963126.185330317	842338.016389173	1124009.66778255	0	0	0	-6.64	1.36513383665065E-16
F4JPX3	AT4G17660	0	0	0	848559.657047716	831097.947063002	869800.14169779	6.64	1.36513383665065E-16
A8MS85	AT1G65440	151190024.823728	112569195.677682	122578797.518363	16582853.5416209	15970537.5790427	14744053.7863859	-2.94	1.36513383665065E-16
Q8GWT1	AT5G15470	0	0	0	2039445.55234663	2111068.60811221	2975812.69458916	6.64	1.36513383665065E-16
Q8VZ75		3181421.14973103	2325311.06894815	2516197.67751523	0	0	0	-6.64	1.36513383665065E-16
P02666		2619869.57208999	53394680.2492783	59759792.0640917	4129059.96982314	6748356.13648353	5358224.93116697	-3.32	1.36513383665065E-16
Q9LHR4	AT3G32040	68219.1377699164	98063.6037093848	83121.2967164214	0	0	0	-6.64	1.36513383665065E-16
Q9FJL8	AT5G57980	1674315.9089405	1776158.29259573	2365624.37171773	129914063.902056	169177335.131596	156303522.743734	6.46	1.36513383665065E-16
Q9FIK0	AT5G47810	0	0	0	614025.578737273	396194.728094571	377386.47596134	6.64	1.36513383665065E-16
Q6NQ63		133526254.493808	144134788.812566	88629152.1927654	3478144.38072927	3507236.85150479	8487843.26298918	-5.25	1.36513383665065E-16
Q9C9J1	AT1G71690	0	0	0	1232177.7903733	1241917.1222187	1434645.44800681	6.64	1.36513383665065E-16
F4IZ80	AT3G49845	525682.048134645	527430.252825584	1590825.89240797	110338900.27925	105631133.335342	87750378.6770425	6.64	1.36513383665065E-16
Q9ZTP3	AT3G04580	157120588.946599	108943153.048357	130757948.512741	10922550.0529565	24699819.1141963	13683226.3058366	-3.26	1.36513383665065E-16
A0A1P8AZ96	AT2G34210	10441281.6742124	11379670.5563413	12781397.4833551	402330.760053526	432245.541271728	0	-4.77	3.0187745672993E-15
Q9M9M4	AT3G03050	111968933.391275	96098791.4395303	121613980.424961	690835183.467914	702426667.304648	656061290.304894	2.63	3.0187745672993E-15
Q9ZVL3	AT1G54830	51223.7707323839	20680.7316333598	0	2148422.40790023	4003845.0045158	2672814.86363115	6.36	3.0187745672993E-15
