intersections	protein
rbohF - WT (CTRL)	Q9M9V7
rbohF - WT (CTRL)	Q94CC6
rbohF - WT (CTRL)	A0A1P8BFZ5
rbohF - WT (CTRL)	Q9SR37
rbohF - WT (CTRL)	Q9LF41
rbohF - WT (CTRL)	Q9SGP9
rbohF - WT (CTRL)	Q9SH30
rbohF - WT (CTRL)	Q9ZPX1
rbohF - WT (CTRL)	Q944H0
rbohF - WT (CTRL)	Q9C9U7
rbohF - WT (CTRL)	A0A1P8B458
rbohF - WT (CTRL)	Q9SU63
rbohF - WT (CTRL)	Q9LPV8
rbohF - WT (CTRL)	Q9LM13
rbohF - WT (CTRL)	Q9FIP9
rbohF - WT (CTRL)	Q9FKN7
rbohF - WT (CTRL)	F4IIG3
rbohF - WT (CTRL)	Q9LIL4
rbohF - WT (CTRL)	Q0WPR4
rbohF - WT (CTRL)	Q9LIC6
rbohF - WT (CTRL)	Q8GWR1
rbohF - WT (CTRL)	Q8GYC5
rbohF - WT (CTRL)	Q9FXT6
rbohF - WT (CTRL)	Q93ZR1
rbohF - WT (CTRL)	Q9SGN6
rbohF - WT (CTRL)	Q8VYI8
rbohF - WT (CTRL)	Q9ZU93
rbohF - WT (CTRL)	Q9FLD3
rbohF - WT (CTRL)	Q9FKJ4
rbohF - WT (CTRL)	Q8W486
rbohF - WT (CTRL)	Q9MAC6
rbohF - WT (CTRL)	Q94K78
rbohF - WT (CTRL)	Q9LNK1
rbohF - WT (CTRL)	Q6NQ66
rbohF - WT (CTRL)	Q6DBG8
rbohF - WT (CTRL)	Q8GYF7
rbohF - WT (CTRL)	Q94AW9
rbohF - WT (CTRL)	F4K725
rbohF - WT (CTRL)	Q9SV21
rbohF - WT (CTRL)	Q9LR53
rbohF - WT (CTRL)	Q9C9X1
rbohF - WT (CTRL)	Q9SB38
rbohF - WT (CTRL)	Q9C7V7
rbohF - WT (CTRL)	F4ITF9
rbohF - WT (CTRL)	F4IGA5
rbohF - WT (CTRL)	O82568
rbohF - WT (CTRL)	Q9ZVU5
rbohF - WT (CTRL)	F4K0R0
rbohF - WT (CTRL)	Q9LJL8
